id,name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,instant_bookable,number_of_reviews,shared_bathroom,ln_price,ln_num_reviews,Smoke alarm,Microwave,Cooking basics,Refrigerator,Dedicated workspace,Patio or balcony,Essentials,Coffee maker,Shampoo,Stove,Washer,Bed linens,Host greets you,Dishes and silverware,Wifi,Heating,Oven,Hot water,Iron,Hangers,Hair dryer,Kitchen,Carbon monoxide alarm,Luggage dropoff allowed,Air conditioning,Dryer,Extra pillows and blankets,Bathtub,TV,First aid kit,Elevator,Lockbox,Long term stays allowed,Dishwasher,Fire extinguisher,High chair,Waterfront,Lock on bedroom door,Indoor fireplace,Ethernet connection,Single level home,Crib,Smart lock,Pocket wifi,Keypad,Baby bath,Private entrance,Baking sheet,Babysitter recommendations,Cleaning before checkout,Hot tub,Outlet covers,Bathroom essentials,Bedroom comforts,Portable fans,Central heating,Body soap,Conditioner,Changing table,Breakfast,Garden or backyard,Gym,BBQ grill,Building staff,Freezer,EV charger,Laundromat nearby,Ceiling fan,Window guards,Record player,Sound system,Barbecue utensils,Nespresso machine,Beach essentials,Lake access,Full kitchen,Beachfront,Baby monitor,Piano,Mini fridge,Game console,Private living room,Table corner guards,Fireplace guards,Gas stove,Pool,Baby safety gates,Hot water kettle,Rice maker,Bread maker,Pets allowed,Kitchenette,Pool cover,Pool toys,Drying rack for clothing,Wine glasses,Cleaning products,Dining table,Trash compactor,Keurig coffee machine,Radiant heating,Toaster,Clothing storage,Outdoor dining area,Body Soap,Netflix,Amazon Prime Video,Free parking,Paid parking
21618644,Heart of City center Flat,Wieden,48.19782,16.36626,Entire apartment,3,1,1,2,79,FALSE,16,0,4.3694478524670215,2.7732135270086236,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21621444,Charming Center City Appartement Vienna,Wieden,48.18969,16.36319,Entire apartment,3,1,NA,3,52,TRUE,26,0,3.9512437185814275,3.25848107946056,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21625969,Sieveringer Apartment - small but nice,Dbling,48.2494,16.32844,Entire apartment,3,1,1,3,44,FALSE,14,0,3.784189633918261,2.6397713603489157,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21632198,Walk to Schönbrunn Palace from a Historic Viennese Apartment,Rudolfsheim-Fnfhaus,48.18522,16.32805,Entire apartment,2,1.5,NA,2,129,TRUE,114,0,4.859812404361672,4.736286163845628,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21638687,Schubert's Creative Luxury Haven,Landstra§e,48.19868,16.38627,Entire apartment,4,1,1,4,121,FALSE,25,0,4.795790545596741,3.219275744889528,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21638739,Vivid City Gem - A Reminiscence of Gustav Mahler,Landstra§e,48.2004,16.38621,Entire apartment,4,1,1,1,131,FALSE,22,0,4.875197323201151,3.0914968955383704,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21642325,The Flats Apartments - Naschmarkt (1 BR + balcony),Mariahilf,48.19682,16.35627,Entire apartment,4,1.5,1,1,139,TRUE,33,0,4.9344739331306915,3.4968105458651015,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21643366,Kranzelbinder Apartments 13,Brigittenau,48.23146,16.38557,Entire apartment,3,1,1,1,25,FALSE,30,0,3.2188758248682006,3.4015306594522756,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21644034,Beautiful and modern - center. Accurate cleaning!,Neubau,48.20033,16.3518,Entire apartment,2,1,1,1,61,FALSE,178,0,4.110873864173311,5.181839728489342,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21646253,"Cozy,quiet apartment close to city center舒适安静的市内公寓",Donaustadt,48.25171,16.43691,Entire apartment,2,1,1,1,34,TRUE,5,0,3.5263605246161616,1.6114359150967734,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
